timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.19_11.46.52,4.621969,50.668497,3,lln_4
2025.12.19_11.46.52,4.621932,50.66851,3,lln_4
2025.12.19_11.46.59,4.622088,50.668501,3,lln_4
2025.12.19_11.47.05,4.622245,50.668484,3,lln_4
2025.12.19_11.47.10,4.622389,50.668486,3,lln_4
2025.12.19_11.47.16,4.622542,50.668504,3,lln_4
2025.12.19_11.47.23,4.622694,50.668522,3,lln_4
2025.12.19_11.47.30,4.622855,50.668527,3,lln_4
2025.12.19_11.47.37,4.623003,50.668532,3,lln_4
2025.12.19_11.47.44,4.623146,50.668528,3,lln_4
2025.12.19_11.47.51,4.623302,50.668518,3,lln_4
2025.12.19_11.47.58,4.623455,50.668511,3,lln_4
2025.12.19_11.48.05,4.623603,50.668509,3,lln_4
2025.12.19_11.48.12,4.623759,50.668502,3,lln_4
2025.12.19_11.48.19,4.62392,50.668496,3,lln_4
2025.12.19_11.48.26,4.624005,50.66842,3,lln_4
2025.12.19_11.48.33,4.624021,50.668325,3,lln_4
2025.12.19_11.48.40,4.624023,50.668225,3,lln_4
2025.12.19_11.48.47,4.624007,50.668123,3,lln_4
2025.12.19_11.48.54,4.624012,50.66803,3,lln_4
2025.12.19_11.49.01,4.624017,50.66793,3,lln_4
2025.12.19_11.49.17,4.623879,50.667904,3,lln_4
2025.12.19_11.49.25,4.623716,50.667893,3,lln_4
2025.12.19_11.49.30,4.623552,50.667905,3,lln_4
2025.12.19_11.49.36,4.623403,50.667899,3,lln_4
2025.12.19_11.49.43,4.623258,50.667895,3,lln_4
2025.12.19_11.49.50,4.623101,50.667893,3,lln_4
2025.12.19_11.49.58,4.62295,50.667897,3,lln_4
2025.12.19_11.50.05,4.622805,50.667901,3,lln_4
2025.12.19_11.50.11,4.622667,50.667863,3,lln_4
2025.12.19_11.50.17,4.622526,50.6679,3,lln_4
2025.12.19_11.50.23,4.622394,50.66795,3,lln_4
2025.12.19_11.50.29,4.62225,50.667979,3,lln_4
2025.12.19_11.50.36,4.622118,50.668026,3,lln_4
2025.12.19_11.50.44,4.621976,50.668063,3,lln_4
2025.12.19_11.50.51,4.62183,50.668062,3,lln_4
2025.12.19_11.50.57,4.621689,50.66805,3,lln_4
2025.12.19_11.51.03,4.621531,50.668054,3,lln_4
2025.12.19_11.51.08,4.621384,50.668057,3,lln_4
2025.12.19_11.51.14,4.621232,50.668059,3,lln_4
2025.12.19_11.51.21,4.621073,50.668054,3,lln_4
2025.12.19_11.51.30,4.620946,50.668101,3,lln_4
2025.12.19_11.51.40,4.620873,50.668189,3,lln_4
2025.12.19_11.51.47,4.620741,50.668238,4,lln_4
2025.12.19_11.51.53,4.620596,50.668243,3,lln_4
2025.12.19_11.51.58,4.620456,50.668202,3,lln_4
2025.12.19_11.52.03,4.620315,50.668152,3,lln_4
2025.12.19_11.52.08,4.62017,50.668115,3,lln_4
2025.12.19_11.52.14,4.620017,50.668085,3,lln_4
2025.12.19_11.52.21,4.619852,50.668091,3,lln_4
2025.12.19_11.52.28,4.6197,50.668109,3,lln_4
2025.12.19_11.52.36,4.619561,50.668079,3,lln_4
2025.12.19_11.52.43,4.619419,50.668072,3,lln_4
2025.12.19_11.52.49,4.619276,50.668086,3,lln_4
2025.12.19_11.52.56,4.619141,50.668121,3,lln_4
2025.12.19_11.53.03,4.618977,50.668115,3,lln_4
2025.12.19_11.53.10,4.618831,50.668114,3,lln_4
2025.12.19_11.53.17,4.618676,50.668097,3,lln_4
2025.12.19_11.55.25,4.616707,50.668691,3,lln_4
2025.12.19_11.55.30,4.61669,50.668781,3,lln_4
2025.12.19_11.55.38,4.616659,50.668882,3,lln_4
2025.12.19_11.55.43,4.616629,50.668973,3,lln_4
2025.12.19_11.55.48,4.616636,50.669064,3,lln_4
2025.12.19_11.55.54,4.616536,50.669142,3,lln_4
2025.12.19_11.56.00,4.616414,50.669204,3,lln_4
2025.12.19_11.56.07,4.616314,50.669275,3,lln_4
2025.12.19_11.56.10,4.616314,50.669275,3,lln_4
